,MONTH2,DAY2,STOP_WAS_INITIATED,ISSUING_OFFICER_RANK,SUPERVISING_OFFICER_RANK,SUPERVISING_ACTION_CORRESPONDING_ACTIVITY_LOG_ENTRY_REVIEWED,JURISDICTION_DESCRIPTION,OBSERVED_DURATION_MINUTES,SUSPECTED_CRIME_DESCRIPTION,STOP_DURATION_MINUTES,OFFICER_EXPLAINED_STOP_FLAG,OTHER_PERSON_STOPPED_FLAG,SUSPECT_ARRESTED_FLAG,SUSPECT_ARREST_OFFENSE,SUMMONS_ISSUED_FLAG,OFFICER_IN_UNIFORM_FLAG,ID_CARD_IDENTIFIES_OFFICER_FLAG,SHIELD_IDENTIFIES_OFFICER_FLAG,VERBAL_IDENTIFIES_OFFICER_FLAG,FRISKED_FLAG,SEARCHED_FLAG,OTHER_CONTRABAND_FLAG,FIREARM_FLAG,KNIFE_CUTTER_FLAG,OTHER_WEAPON_FLAG,WEAPON_FOUND_FLAG,PHYSICAL_FORCE_CEW_FLAG,PHYSICAL_FORCE_DRAW_POINT_FIREARM_FLAG,PHYSICAL_FORCE_HANDCUFF_SUSPECT_FLAG,PHYSICAL_FORCE_OC_SPRAY_USED_FLAG,PHYSICAL_FORCE_OTHER_FLAG,PHYSICAL_FORCE_RESTRAINT_USED_FLAG,PHYSICAL_FORCE_VERBAL_INSTRUCTION_FLAG,PHYSICAL_FORCE_WEAPON_IMPACT_FLAG,BACKROUND_CIRCUMSTANCES_VIOLENT_CRIME_FLAG,BACKROUND_CIRCUMSTANCES_SUSPECT_KNOWN_TO_CARRY_WEAPON_FLAG,SUSPECTS_ACTIONS_CASING_FLAG,SUSPECTS_ACTIONS_CONCEALED_POSSESSION_WEAPON_FLAG,SUSPECTS_ACTIONS_DECRIPTION_FLAG,SUSPECTS_ACTIONS_DRUG_TRANSACTIONS_FLAG,SUSPECTS_ACTIONS_IDENTIFY_CRIME_PATTERN_FLAG,SUSPECTS_ACTIONS_LOOKOUT_FLAG,SUSPECTS_ACTIONS_OTHER_FLAG,SUSPECTS_ACTIONS_PROXIMITY_TO_SCENE_FLAG,SEARCH_BASIS_ADMISSION_FLAG,SEARCH_BASIS_CONSENT_FLAG,SEARCH_BASIS_HARD_OBJECT_FLAG,SEARCH_BASIS_INCIDENTAL_TO_ARREST_FLAG,SEARCH_BASIS_OTHER_FLAG,SEARCH_BASIS_OUTLINE_FLAG,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,SUSPECT_EYE_COLOR,SUSPECT_HAIR_COLOR,STOP_LOCATION_PRECINCT,STOP_LOCATION_SECTOR_CODE,STOP_LOCATION_PATROL_BORO_NAME,STOP_LOCATION_BORO_NAME,age_bin
10,January,Monday,Based on Self Initiated,DTS,LT,Y,PSB,1,CPW,2,Y,N,Y,CPW,N,Y,(null),(null),(null),Y,N,Y,Y,(null),(null),Y,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),MALE,BLACK,6.1,220.0,MED,BRO,BLK,67,D,PBBS,BROOKLYN,18_30
11,January,Monday,Based on Radio Run,POM,SGT,Y,PSB,1,OTHER,10,Y,Y,N,(null),N,Y,(null),(null),(null),N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),MALE,WHITE,5.8,190.0,XXX,BLK,BLK,68,G,PBBS,BROOKLYN,over_30
12,January,Monday,Based on Radio Run,POM,SGT,Y,PSB,1,OTHER,10,Y,Y,N,(null),N,Y,(null),(null),(null),N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),MALE,WHITE,5.8,150.0,XXX,BRO,BLK,68,G,PBBS,BROOKLYN,0_17
13,January,Monday,Based on C/W on Scene,POM,LT,Y,(null),0,ASSAULT,5,Y,N,N,(null),N,Y,(null),(null),(null),Y,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),FEMALE,BLACK,5.3,140.0,THN,BRO,BLK,71,A,PBBS,BROOKLYN,over_30
14,January,Monday,Based on Radio Run,POM,SGT,Y,(null),1,ASSAULT,1,Y,N,N,(null),N,Y,(null),(null),(null),N,N,N,(null),(null),(null),N,(null),(null),(null),(null),Y,(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),MALE,BLACK,5.9,190.0,MED,BRO,XXX,73,B,PBBN,BROOKLYN,unknown
15,January,Monday,Based on Self Initiated,POF,SGT,Y,Housing,1,CPW,5,Y,Y,N,(null),N,Y,(null),(null),(null),Y,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),Y,Y,Y,Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),MALE,BLACK,5.5,140.0,THN,BRO,BLK,73,C,PBBN,BROOKLYN,18_30
16,January,Monday,Based on Self Initiated,POF,SGT,Y,Housing,1,CPW,5,Y,Y,N,(null),N,Y,(null),(null),(null),Y,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),Y,(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),MALE,BLACK,5.1,120.0,THN,BRO,BLK,73,C,PBBN,BROOKLYN,unknown
17,January,Monday,Based on Self Initiated,POF,SGT,Y,Housing,1,CPW,5,Y,Y,N,(null),N,Y,(null),(null),(null),Y,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),Y,(null),Y,Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),MALE,BLACK,5.6,160.0,THN,BRO,BLK,73,C,PBBN,BROOKLYN,unknown
18,January,Monday,Based on Self Initiated,POF,SGT,Y,Housing,1,CPW,4,Y,Y,N,(null),N,Y,(null),(null),(null),Y,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),Y,(null),Y,Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),MALE,BLACK,5.6,150.0,THN,BRO,BLK,73,C,PBBN,BROOKLYN,unknown
19,January,Monday,Based on Self Initiated,POF,SGT,Y,Housing,1,CPW,4,Y,Y,N,(null),N,Y,(null),(null),(null),Y,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),Y,(null),Y,Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),MALE,BLACK,5.4,160.0,THN,BRO,BLK,73,C,PBBN,BROOKLYN,unknown
